,,,,,,,,,,,
T-Mobile US Inc (TMUS US) - Overview,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,60.10,59.50,61.20
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,4.39,5.71,6.24
,,,,,,,,,,,
Ethics & Compliance,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Political Donations,POLITICAL_DONATIONS,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,1.2
,,,,,,,,,,,
Health & Safety,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Fatalities - Employees,FATALITIES_EMPLOYEES,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.00,0.00,0.00
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,0.27,0.27,0.28
,,,,,,,,,,,
Human Capital,,,,,,,,,,,
Training Policy,TRAINING_POLICY,No,No,No,No,No,No,No,Yes,Yes,Yes
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,No,No,No,No,No,No,No,No,No,No
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,"40,000.00","45,000.00","50,000.00","50,000.00","51,000.00","52,000.00","53,000.00","75,000.00","75,000.00","71,000.00"
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,0.05,0.06,0.06,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,"3,700,000.00","5,400,000.00","5,800,000.00"
,,,,,,,,,,,
Supply Chain,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,,,,,,,,,,,
Governance,,,,,,,,,,,
Audit Risk & Oversight,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,1.00,2.00,3.00,4.00,5.00,6.00,7.00,20.00,21.00,1.00
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,18.00,8.00,8.00,15.00,15.00,11.00,9.00,13.00,11.00,11.00
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
,,,,,,,,,,,
Board Composition,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Board Size,BOARD_SIZE,11.00,11.00,11.00,11.00,11.00,12.00,12.00,14.00,14.00,14.00
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,12.00,10.00,9.00,9.00,9.00,9.00,9.00,7.00,9.00,9.00
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,10.00,10.00,10.00,10.00,10.00,10.00,10.00,13.00,13.00,13.00
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,20.00,9.00,7.00,5.00,16.00,10.00,16.00,12.00,4.00,5.00
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
,,,,,,,,,,,
Compensation,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,n/a,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,3.00,3.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,2.00
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,8.00,7.00,6.00,7.00,5.00,6.00,5.00,7.00,7.00,8.00
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
,,,,,,,,,,,
Diversity,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,4.00
Board Age Limit,BOARD_AGE_LIMIT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,47.00,47.00,48.00,49.00,50.00,49.00,49.00,46.00,47.00,48.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,71.00,72.00,73.00,74.00,75.00,65.00,66.00,67.00,68.00,69.00
,,,,,,,,,,,
Independence,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,6.00
,,,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,5.00,4.00,3.00,4.00,6.00,5.00,5.00,5.00,8.00,7.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
,,,,,,,,,,,
Sustainability Governance,,,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,Yes,Yes,Yes
,,,,,,,,,,,
Tenure,,,,,,,,,,,
Board Duration (Years),BOARD_DURATION,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Community Spending,COMMUNITY_SPENDING,Ñ,Ñ,Ñ,0.1,0.8,2.6,0.5,902.8,"1,859.8","2,100.0"
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,,,
